スタック領域,関数呼び出しや局所変数を管理するメモリ領域。LIFO構造で扱われる。
SCSI,最大8台までデイジーチェーンで接続可能なハードディスクなどに用いるパラレル接続方式。5Mバイト/秒
HDMI,AV機器の映像・音声を接続するシリアル(3レーン)接続方式。10.2Gビット/秒
Bluetooth,2.4GHz帯域の無線通信規格。遮蔽物があっても通信できるシリアルインターフェイス。1~24Mビット/秒
職能別組織,営業・開発・経理など機能ごとに部署を分ける組織形態。専門性を活かせるが、連携は弱くなりやすい。
カンパニ制組織,大企業を複数の独立採算ユニットに分け、それぞれが利益責任を持つ。
プロジェクト組織,特定の目的や課題のため、異なる部署から人を集め期間限定で編成。
マトリクス型組織,職能別とプロジェクトを縦横で組み合わせた形。指示が複雑になりやすい。
OC曲線（検査特性曲線）,抜取検査で、不良品の混入率と合格確率の関係を示すグラフ。
仕訳帳,取引を日付順に記録する帳簿。
総勘定元帳,仕訳を勘定科目ごとにまとめた帳簿。
試算表,帳簿残高を集計し、貸借が一致しているか確認する表。
精算表,決算整理後の残高をまとめ、財務諸表作成の基礎にする表。
財務諸表,企業の経営成績や財政状態を示す報告書類。賃借対照表と損益計算書と関係あり
賃借対照表,資産・負債・純資産の状況を一定時点で示す表。資産＝負債＋純資産
流動資産,1年以内に現金化・消費する資産。
流動負債,1年以内に支払期限がくる負債。
固定負債,支払期限が1年以上の負債。
資本金,株主が出資した元手資金。
損益計算書,一定期間の収益と費用から利益を示す表。収益＝費用＋利益
減価償却,固定資産の価値を使用期間に分けて費用化すること。
流動比率,流動資産 ÷ 流動負債 × 100。大きいほど短期支払能力が高い。
当座比率,当座資産 ÷ 流動負債 × 100。より厳密な短期支払能力。大きいほど短期負債支払い能力が高い。
固定比率,固定資産 ÷ 自己資本 × 100。小さいほど借入れの依存度が低い。
固定長期適合率,固定資産 ÷（自己資本＋固定負債）× 100。小さいほど短期借入れの依存度が低い。
自己資本比率,自己資本 ÷ 総資本 × 100。財務の安定性を示す。
負債比率,負債 ÷ 自己資本 × 100。負債依存度を示す。
著作権,創作物（文章・音楽・絵など）を作った人が持つ、利用や複製を制限する権利。
特許権,新しい発明を一定期間独占的に実施できる権利。
サブライセンス,ライセンスを受けた者が、さらに第三者に利用許可を与えること。
産業財産権,特許権・実用新案権・意匠権・商標権など、産業活動に関する知的財産権の総称。
不正競争防止法,営業秘密の侵害や模倣品販売など、不正な競争行為を防ぐ法律。
ISO/IEC,国際標準化機構と国際電気標準会議が共同で定める国際規格。
ITU(International Telecommunication Union),国際電気通信連合。通信や電波利用の国際的な標準化機関。
ANSI,米国規格協会。アメリカ国内の標準化を推進する団体。
JISC,日本産業標準調査会。日本の工業標準（JIS）を制定する機関。
シンクライアント,端末側で処理せず、サーバ側でアプリやデータを処理する方式。
リッチクライアント,端末側でも多くの処理を行い、高機能な操作が可能な方式。
アムダールの法則,処理の一部を高速化しても、全体の速度向上には限界があるという法則。
RAID0,データを分散して記録し、高速化する方式（冗長性なし）。ストライピング
RAID1,データを完全に二重化して保存し、信頼性を高める方式。ミラーリング
RAID2,ビット単位でデータを分散し、誤り訂正コードで保護する方式（ほぼ使われない）。ストライピング＋ハミング符号
RAID3、4,バイトまたはブロック単位で分散し、1台のパリティディスクで保護する方式。ストライピング＋パリティ
RAID5,データとパリティを複数のディスクに分散し、速度と耐障害性を両立。ストライピング＋パリティ分散
RAID6,RAID5に追加のパリティを加え、2台同時故障にも耐えられる方式。ストライピング＋2種のパリティ分散
バスタブ曲線,機器の故障率を時間経過で表した曲線。初期故障期→偶発故障期→摩耗故障期の形が浴槽に似る。
アセンブラ,アセンブリ言語を機械語に変換するプログラム。
コンパイラ,高級言語で記述されたソースプログラムを機械語に一括変換するプログラム。
ジェネレータ,入出力条件や処理条件し、プログラムやコードを最適化し自動生成するツール。
インタプリタ,高級言語で表現されたソースプログラム中の命令文を1行ずつ解釈・実行するプログラム。
アプリケーション層,利用者が直接使うアプリケーションにサービスを提供する層。メールやWebブラウザなどが該当する。
プレゼンテーション層,データの形式や文字コードを変換し、異なる環境間でもやり取りできるようにする層。暗号化や圧縮もここで行われる。
セッション層,通信の開始・維持・終了といったやり取りの流れを管理する層。途中で切れた場合の再開処理も担当する。
トランスポート層,データを正しく届けるための信頼性や順序制御を行う層。TCPやUDPが代表例。
ネットワーク層,異なるネットワーク間でデータを転送する層。IPアドレスを使って最適な経路を決める。
データリンク層,隣接する機器間で正しくデータを送受信する層。MACアドレスやイーサネットが該当する。
物理層,電気信号や光信号など、実際にビットを伝送する層。ケーブルや無線の規格もここに含まれる。
VLAN,仮想LANのことで、ネットワークを論理的に分割し、異なるグループ間の通信を制限できる仕組み。
アドレスページVLAN,VLANをMACアドレスベースで制御する方式で、特定の端末を指定したVLANに所属させる。
タグVLAN,フレームにVLAN ID（タグ）を付加して識別する方式で、主にIEEE 802.1Q規格に基づいて動作する。
ビジネス・アーキテクチャ,業務プロセスや組織構造、戦略などを体系的に整理・設計する枠組みで、業務フロー図や機能構成図などが使われる。
データ・アーキテクチャ,業務で扱うデータの構造や流れを定義する設計で、ER図やデータ定義表が用いられる。
アプリケーション・アーキテクチャ,業務を支えるソフトウェアやその連携を定義する設計で、情報システム構成図が使われる。
テクノロジ・アーキテクチャ,ネットワークやサーバ、ミドルウェアなどのIT基盤を設計する枠組みで、ネットワーク構成図やインフラ構成図が使われる。
UI（ユーザーインターフェース）,ユーザーが目にして操作される画面やボタンなどの見た目や操作性の設計のこと。
UX（ユーザーエクスペリエンス）,ユーザーが製品やサービスを利用される中で得られる体験全体のことで、使いやすさや満足感などが含まれる。
クラスA：10.0.0.0 ～ 10.255.255.255,大規模ネットワークで使用されることが想定され、1つのネットワークで多数の端末が扱われる場合に使われる。
クラスB：172.16.0.0 ～ 172.31.255.255,中規模ネットワーク向けとされ、複数のネットワークに分けて運用される際などに用いられる。
クラスC：192.168.0.0 ～ 192.168.255.255,小規模ネットワークでよく利用され、家庭用ルーターなどで一般的に設定されるアドレス帯とされる。
死の谷,研究開発の成果が事業化される前段階で資金や支援が得られず、製品化に至れない状態。
魔の川,基礎研究から応用研究への移行過程で、技術の実用性やニーズとのギャップが乗り越えられない状況。
ダーウィンの海,製品化された技術が市場での競争に適応できず、生き残れない状況。
死の行進（デスマーチ）,プロジェクトが無理なスケジュールや過重な作業要求で進められ、関係者が疲弊し成功が困難になる状態。
WildFly,Javaで開発されたアプリケーションを実行される際に使われるオープンソースのJava EE（Jakarta EE）対応アプリケーションサーバ。
Apache・Nginx,Webサイトへのアクセスを処理されるWebサーバソフトウェアで、Apacheは柔軟性、Nginxは高速処理で知られている。
PostgreSQL,高機能なオープンソースのリレーショナルデータベースで、大量データや複雑なクエリが扱われるシステムに利用される。
カーディナリティ,データベースにおいて、ある属性（列）に含まれる異なる値の数を示される用語。テーブル設計やインデックス選択に影響を与える。
データクレンジング,データベースやファイルに含まれる誤りや欠損、不整合などの問題を検出し、正確で一貫性のある状態に修正・整理する作業。
静的結合,プログラム中でモジュールや関数などがコンパイル時点で結び付けられ、変更の影響を受けやすくなる関係。
動的結合,実行時にオブジェクトや関数が結び付ける仕組みで、柔軟な処理の切り替えが可能。
継承,あるクラスの性質や機能が別のクラスに引き継がれ、再利用や拡張がしやすくされるオブジェクト指向の仕組み。
ガーベジコレクション,プログラム実行中に不要になったメモリ領域を自動的に回収する仕組み。
タンデムシステム,同じ処理を行う2台以上のコンピュータを接続し、障害時にも継続運用できる冗長構成。
ロードシェアシステム,複数のコンピュータに処理を分散させて、全体の負荷を均等にする仕組み。
RSS,ウェブサイトの更新情報を配信するためのXML形式のフォーマット。
TCO,製品やシステムの導入から運用・廃棄までにかかる総コスト（総保有コスト）のこと。
ピアツーピア (P2P),中央サーバを介さず、参加者同士が直接データをやり取りする分散型ネットワーク方式。
フラッディング,ネットワーク上の全ノードにデータを無差別に送信する手法で、負荷や輻輳を引き起こす可能性がある。
ウェルノウンポート番号,一般的なサービスに割り当てられた0～1023番のポート番号。※FTPは制御用に21番、転送用に20番を使用。
ping,指定したIPアドレスやドメイン名に対して通信可能かどうかを確認するためのコマンド。
ipconfig,ネットワーク設定（IPアドレスやサブネットマスクなど）を確認・更新するコマンド。
tracert,パケットが宛先に届くまでに通過するルーターの経路を表示するコマンド。
netstat,現在のネットワーク接続状況やポートの使用状況を表示するコマンド。
nslookup,ドメイン名からIPアドレスを調べたり、DNSの応答を確認したりするコマンド。
arp,ARPキャッシュ（IPアドレスとMACアドレスの対応表）を表示・操作するコマンド。
route,ルーティングテーブル（通信経路の情報）を表示・編集するコマンド。
hostname,現在のコンピュータ名（ホスト名）を表示するコマンド。
pathping,pingとtracertを組み合わせたようなコマンドで、経路ごとのパケット損失などを詳しく確認可能。
net use,ネットワークドライブやプリンターへの接続や切断を管理するコマンド。
tasklist,現在動作中のプロセス一覧を表示するコマンド。
taskkill,指定したプロセスを強制終了させるコマンド。
cls,コマンドプロンプトの画面をクリアするコマンド。
cd,カレントディレクトリ（現在の作業フォルダ）を移動するコマンド。
dir,ディレクトリ内のファイルやフォルダを一覧表示するコマンド。
copy,ファイルをコピーするコマンド。
del,ファイルを削除するコマンド。
mkdir,新しいフォルダ（ディレクトリ）を作成するコマンド。
rmdir,空のフォルダを削除するコマンド。
exit,コマンドプロンプトを終了するコマンド。
量子超越性（Quantum Supremacy）,量子コンピュータが、従来のスーパーコンピュータでは実行困難な計算を短時間で実行できることを指す概念。
ワイドカラム,データを列単位で管理し、同一列にまとめて格納する形式のデータベース構造で、大量データの分析処理に強い。
Ethernet（イーサネット）,コンピュータ同士を有線で接続するLAN（ローカルエリアネットワーク）の標準規格。高速かつ安定した通信が可能。
デジタルガバナンス・コード,企業がデジタル技術を活用する際の方針や体制を明示したガイドライン。


